fips,gini_cnty,income_cnty,black_cnty,pop_cnty,state,county,precincts,reporting,bush,kerry,nader,perc_bush04,state_ansi,county_ansi,county_name,ansi_cl
1001,0.41,5.1463,0.178565666343982,4.9584,AL,autauga,22,22,15212,4774,74,0.758325024925224,01,001,Autauga County,H1
1003,0.437,4.8918,0.0990017267743042,17.1997,AL,baldwin,50,50,52910,15579,371,0.768370607028754,01,003,Baldwin County,H1
1005,0.471,3.2537,0.46327074132758,2.9663,AL,barbour,24,24,5893,4826,26,0.548441135411819,01,005,Barbour County,H1
1007,0.395,4.1236,0.230758479314201,2.1464,AL,bibb,16,16,5471,2089,12,0.722530375066033,01,007,Bibb County,H1
1009,0.414,4.5406,0.00962960354904584,5.6804,AL,blount,26,26,17364,3932,92,0.811857116139892,01,009,Blount County,H1
1011,0.54,2.6209,0.750480901346524,1.0917,AL,bullock,27,27,1494,3210,3,0.317399617590822,01,011,Bullock County,H1
1013,0.452,3.1938,0.412501857447125,2.0189,AL,butler,27,27,4978,3409,13,0.592619047619048,01,013,Butler County,H1
1015,0.454,3.8382,0.196115748568191,11.2969,AL,calhoun,53,53,29806,15076,182,0.661414876619918,01,015,Calhoun County,H1
1017,0.418,3.2433,0.3730693868142,3.4704,AL,chambers,24,24,7618,5346,42,0.585729663232354,01,017,Chambers County,H1
1019,0.42,4.024,0.0562082941007901,2.4427,AL,cherokee,32,32,5919,3036,43,0.6578128472994,01,019,Cherokee County,H1
1021,0.449,3.8966,0.10721044663134,4.2272,AL,chilton,19,19,12824,3773,46,0.770534158505077,01,021,Chilton County,H1
1023,0.436,3.0749,0.435378452456251,1.4229,AL,choctaw,33,33,3889,3289,15,0.540664534964549,01,023,Choctaw County,H1
1025,0.518,2.708,0.417505106286406,2.6438,AL,clarke,30,30,6729,4627,19,0.59156043956044,01,025,Clarke County,H1
1027,0.393,3.7652,0.146270607887283,1.3769,AL,clay,24,24,4622,1893,38,0.705325804974821,01,027,Clay County,H1
1029,0.456,3.3742,0.0535702037176761,1.4579,AL,cleburne,19,19,4362,1387,24,0.755586350251169,01,029,Cleburne County,H1
1031,0.448,4.1973,0.18108200504252,4.6802,AL,coffee,34,34,13010,4477,73,0.740888382687927,01,031,Coffee County,H1
1033,0.435,3.9366,0.159755069115976,5.4546,AL,colbert,36,36,13179,10586,88,0.552509118349893,01,033,Colbert County,H1
1035,0.504,2.7216,0.44288546591429,1.3114,AL,conecuh,27,27,3266,2715,17,0.544514838279426,01,035,Conecuh County,H1
1037,0.447,3.3595,0.325229655748353,1.0777,AL,coosa,14,14,2902,2055,8,0.584491440080564,01,037,Coosa County,H1
1039,0.457,3.3278,0.125,3.6688,AL,covington,37,37,11108,3422,37,0.762545479508478,01,039,Covington County,H1
1041,0.5,3.1058,0.21684810404033,1.3687,AL,crenshaw,19,19,3774,1698,17,0.68755693204591,01,041,Crenshaw County,H1
1043,0.45,3.8394,0.012117078010666,8.063,AL,cullman,53,53,26783,8022,155,0.766104118993135,01,043,Cullman County,H1
1045,0.427,4.2225,0.203740177886509,4.8233,AL,dale,26,26,13614,4479,75,0.749339498018494,01,045,Dale County,H1
1047,0.508,2.6442,0.668826611771311,4.2748,AL,dallas,32,32,7318,11145,28,0.395760099507869,01,047,Dallas County,H1
1049,0.458,3.3634,0.0153557338339469,6.8183,AL,dekalb,77,77,16901,7092,99,0.701519176490121,01,049,DeKalb County,H1
1051,0.405,5.2971,0.214680501603358,7.6714,AL,elmore,31,31,22024,6455,68,0.771499632185519,01,051,Elmore County,H1
1053,0.463,3.2321,0.314688107345385,3.7561,AL,escambia,34,34,8501,3812,28,0.688842071144964,01,053,Escambia County,H1
1055,0.442,3.6378,0.146330586524479,10.315,AL,etowah,53,53,26972,15311,195,0.634963981355054,01,055,Etowah County,H1
1057,0.415,3.5754,0.113251373859838,1.7651,AL,fayette,28,28,5532,2408,29,0.694189986196512,01,057,Fayette County,H1
1059,0.447,3.338,0.0390637663305994,3.0847,AL,franklin,25,25,7688,4513,48,0.627643072903911,01,059,Franklin County,H1
1061,0.457,3.1055,0.103875968992248,2.58,AL,geneva,31,31,8324,2105,27,0.796097934200459,01,061,Geneva County,H1
1063,0.471,2.2352,0.786545215100966,0.9112,AL,greene,21,21,958,3763,12,0.202408620325375,01,063,Greene County,H1
1065,0.447,2.9841,0.586973435589641,1.7994,AL,hale,16,16,3278,4622,15,0.414150347441567,01,065,Hale County,H1
1067,0.44,3.5792,0.305971049457177,1.658,AL,henry,20,20,4859,2432,15,0.665069805639201,01,067,Henry County,H1
1069,0.469,4.1096,0.252433284238498,9.7091,AL,houston,29,29,26868,9141,91,0.744265927977839,01,069,Houston County,H1
1071,0.439,3.5073,0.0351809142122576,5.2898,AL,jackson,38,38,11507,8618,92,0.569174457140031,01,071,Jackson County,H1
1073,0.489,4.4718,0.407306119490435,66.2212,AL,jefferson,379,379,158504,132145,999,0.543477068246654,01,073,Jefferson County,H1
1075,0.506,3.1094,0.120168998476243,1.4438,AL,lamar,25,25,4894,1956,5,0.713931436907367,01,075,Lamar County,H1
1077,0.459,3.7691,0.101524562394128,8.855,AL,lauderdale,33,33,22123,14615,155,0.599653050714228,01,077,Lauderdale County,H1
1079,0.397,4.1472,0.122426233354842,3.4094,AL,lawrence,32,32,7728,6153,44,0.554973070017953,01,079,Lawrence County,H1
1081,0.49,3.8588,0.232013714040821,13.0669,AL,lee,36,36,27911,16177,203,0.630173172879366,01,081,Lee County,H1
1083,0.434,4.4997,0.131378584156812,7.4076,AL,limestone,33,33,18994,8859,117,0.679084733643189,01,083,Limestone County,H1
1085,0.498,3.027,0.706380620645979,1.2632,AL,lowndes,14,14,1786,4233,0,0.296727031068284,01,085,Lowndes County,H1
1087,0.475,2.6305,0.823529411764706,2.2304,AL,macon,18,18,1540,7495,16,0.17014694508894,01,087,Macon County,H1
1089,0.448,5.4979,0.235340570042064,31.4047,AL,madison,83,83,77150,52614,548,0.592040640923323,01,089,Madison County,H1
1091,0.494,3.0819,0.528477133427628,2.121,AL,marengo,32,32,5242,5026,16,0.509723842862699,01,091,Marengo County,H1
1093,0.441,3.2224,0.0371579126296107,2.9415,AL,marion,22,22,8983,3806,61,0.699066147859922,01,093,Marion County,H1
1095,0.46,3.7396,0.015570088143304,8.7925,AL,marshall,50,50,22745,8441,154,0.725749840459477,01,095,Marshall County,H1
1097,0.471,4.0476,0.342199338318559,40.5331,AL,mobile,90,90,91877,63614,697,0.588246216098548,01,097,Mobile County,H1
1099,0.482,2.981,0.400789820096534,2.279,AL,monroe,14,14,5831,3666,23,0.6125,01,099,Monroe County,H1
1101,0.486,4.3015,0.528049775147191,22.4369,AL,montgomery,59,59,44074,45127,198,0.493003277441582,01,101,Montgomery County,H1
1103,0.44,4.2913,0.116114134916708,11.5197,AL,morgan,47,47,32435,14113,187,0.694019471488178,01,103,Morgan County,H1
1105,0.445,2.627,0.689493872205071,1.0689,AL,perry,18,18,1733,3754,7,0.315435020021842,01,105,Perry County,H1
1107,0.463,2.715,0.424979516591561,1.9528,AL,pickens,27,27,5170,3915,24,0.567570534636074,01,107,Pickens County,H1
1109,0.518,2.8065,0.369458455003982,3.0136,AL,pike,28,28,7473,4323,44,0.631165540540541,01,109,Pike County,H1
1111,0.47,3.5137,0.217472449342339,2.2504,AL,randolph,47,47,6127,2817,35,0.682369974384675,01,111,Randolph County,H1
1113,0.437,3.2064,0.407783485578365,5.0029,AL,russell,19,19,8332,8372,51,0.497284392718591,01,113,Russell County,H1
